Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,20p,
"C10, C14, C19, C20, C21, C22, C23, C24, C25, C26, C27, C29, C3, C30, C31, C35, C36, C37, C38, C39, C4, C40, C41, C42, C5, C51, C52, C53, C55, C6",0603,30,1u,
"C11, C12, C47, C48, C49, C50, C54",0603,7,100n,
"C13, C15, C16, C8, C9",0805,5,4.7u,
"C17, C18, C7",CP_Radial_D8.0mm_P3.80mm,3,470u,
"C28, C32, C33, C34, C43, C44, C45, C46",0603,8,330n,
D1,LED_miniPLCC_2315_Handsoldering,1,LED,
"D10, D11, D12, D13, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_miniPLCC_2315,13,LED,
D14,D_MiniMELF,1,D_Schottky,
"D15, D17",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
J1,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,ST-Link,
J2,FanPinHeader_1x04_P2.54mm_Vertical,1,Display OLED,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,IDC 2x5,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J6, J7, J8, J9",BNC_Gold,4,Conn_Coaxial,
K1,Relay_DPDT_Finder_30.22,1,Relay_DPDT,
Q1,SOT-323_SC-70_Handsoldering,1,NX3008NBK,
"R1, R17, R18, R19, R22, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R35, R4, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R60, R61, R62",0603,35,10k,
"R10, R11, R7",0603,3,1k5,
"R12, R2, R5, R9",0603,4,4k7,
"R13, R21, R34, R37, R38, R6, R63, R8",0603,8,1k,
"R14, R39",0603,2,200k,
"R15, R23, R36, R40, R58, R59",0603,6,100k,
"R16, R41",0603,2,22k,
"R20, R33",0603,2,100R,
R57,0603,1,33k,
SW1,SW-SMD_L6.1-W3.7-LS7.9,1,SW_SPST,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",Pin_D1.0mm_L10.0mm,10,TestPoint,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
"U11, U13, U14, U5, U8",TSSOP-16_4.4x5mm_P0.65mm,5,CD74HC4052,
"U12, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,INA823,
U15,SOT-23,1,REF3033,
U16,SOT-23-5_HandSoldering,1,74LVC1G02,
U17,AD9833_Module,1,~,
"U18, U7, U9",TSSOP-14_4.4x5mm_P0.65mm,3,TL074,
U19,MCP4561-502E_MS_SOP65P490X110-8N,1,MCP4561-502E_MS,MCP4561-502E/MS
U2,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,1,LM27762,
U3,SOT-89-3_Handsoldering,1,HT75xx-1-SOT89,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA2192,
Y1,Crystal_HC49-U_Vertical,1,8MHz,
